data_id,treat,age,educ,black,hisp,marr,nodegree,re74,re75,re78,agesq,agecb,educsq,u74,u75,educ_re74,u74_hisp,re74sq,re75sq
Dehejia-Wahba Sample,1,17,10,1,0,0,1,0,0,0,289,4913,100,1,1,0,0,0,0
Dehejia-Wahba Sample,1,48,4,1,0,0,1,0,0,6551.591796875,2304,110592,16,1,1,0,0,0,0
Dehejia-Wahba Sample,1,25,11,1,0,1,1,0,0,1574.4239501953125,625,15625,121,1,1,0,0,0,0
Dehejia-Wahba Sample,1,20,12,1,0,0,0,0,0,0,400,8000,144,1,1,0,0,0,0
Dehejia-Wahba Sample,1,25,12,1,0,0,0,0,0,3191.7529296875,625,15625,144,1,1,0,0,0,0
Dehejia-Wahba Sample,1,42,14,1,0,0,0,0,0,20505.9296875,1764,74088,196,1,1,0,0,0,0
Dehejia-Wahba Sample,1,25,5,1,0,0,1,0,0,6181.8798828125,625,15625,25,1,1,0,0,0,0
Dehejia-Wahba Sample,1,23,12,1,0,1,0,0,0,5911.55078125,529,12167,144,1,1,0,0,0,0
Dehejia-Wahba Sample,1,46,8,1,0,1,1,0,0,3094.156005859375,2116,97336,64,1,1,0,0,0,0
Dehejia-Wahba Sample,1,24,10,1,0,0,1,0,0,0,576,13824,100,1,1,0,0,0,0
Dehejia-Wahba Sample,1,21,12,1,0,0,0,0,0,1254.58203125,441,9261,144,1,1,0,0,0,0
Dehejia-Wahba Sample,1,19,9,0,0,0,1,0,0,13188.830078125,361,6859,81,1,1,0,0,0,0
Dehejia-Wahba Sample,1,17,8,1,0,0,1,0,0,8061.48486328125,289,4913,64,1,1,0,0,0,0
Dehejia-Wahba Sample,1,18,8,0,1,1,1,0,0,2787.9599609375,324,5832,64,1,1,0,1,0,0
Dehejia-Wahba Sample,1,20,11,1,0,0,1,0,0,3972.5400390625,400,8000,121,1,1,0,0,0,0
Dehejia-Wahba Sample,1,25,11,1,0,1,1,0,0,0,625,15625,121,1,1,0,0,0,0
Dehejia-Wahba Sample,1,17,8,1,0,0,1,0,0,0,289,4913,64,1,1,0,0,0,0
Dehejia-Wahba Sample,1,17,9,1,0,0,1,0,0,0,289,4913,81,1,1,0,0,0,0
Dehejia-Wahba Sample,1,25,5,1,0,0,1,0,0,12187.41015625,625,15625,25,1,1,0,0,0,0
Dehejia-Wahba Sample,1,23,12,1,0,0,0,0,0,4843.17578125,529,12167,144,1,1,0,0,0,0
Dehejia-Wahba Sample,1,28,8,1,0,0,1,0,0,0,784,21952,64,1,1,0,0,0,0
Dehejia-Wahba Sample,1,31,11,1,0,1,1,0,0,8087.48681640625,961,29791,121,1,1,0,0,0,0
Dehejia-Wahba Sample,1,18,11,1,0,0,1,0,0,0,324,5832,121,1,1,0,0,0,0
Dehejia-Wahba Sample,1,25,12,1,0,0,0,0,0,2348.972900390625,625,15625,144,1,1,0,0,0,0
Dehejia-Wahba Sample,1,30,11,1,0,1,1,0,0,590.78179931640625,900,27000,121,1,1,0,0,0,0
Dehejia-Wahba Sample,1,17,10,1,0,0,1,0,0,0,289,4913,100,1,1,0,0,0,0
Dehejia-Wahba Sample,1,37,9,1,0,0,1,0,0,1067.5059814453125,1369,50653,81,1,1,0,0,0,0
Dehejia-Wahba Sample,1,41,4,1,0,1,1,0,0,7284.98583984375,1681,68921,16,1,1,0,0,0,0
Dehejia-Wahba Sample,1,42,14,1,0,1,0,0,0,13167.51953125,1764,74088,196,1,1,0,0,0,0
Dehejia-Wahba Sample,1,22,11,0,0,0,1,0,0,1048.4320068359375,484,10648,121,1,1,0,0,0,0
Dehejia-Wahba Sample,1,17,8,1,0,0,1,0,0,0,289,4913,64,1,1,0,0,0,0
Dehejia-Wahba Sample,1,29,8,1,0,0,1,0,0,1923.93798828125,841,24389,64,1,1,0,0,0,0
Dehejia-Wahba Sample,1,35,10,1,0,0,1,0,0,4666.23583984375,1225,42875,100,1,1,0,0,0,0
Dehejia-Wahba Sample,1,27,11,1,0,0,1,0,0,549.29840087890625,729,19683,121,1,1,0,0,0,0
Dehejia-Wahba Sample,1,29,4,1,0,0,1,0,0,762.91461181640625,841,24389,16,1,1,0,0,0,0
Dehejia-Wahba Sample,1,28,9,1,0,0,1,0,0,10694.2900390625,784,21952,81,1,1,0,0,0,0
Dehejia-Wahba Sample,1,27,11,1,0,0,1,0,0,0,729,19683,121,1,1,0,0,0,0
Dehejia-Wahba Sample,1,23,7,0,0,0,1,0,0,0,529,12167,49,1,1,0,0,0,0
Dehejia-Wahba Sample,1,45,5,1,0,1,1,0,0,8546.71484375,2025,91125,25,1,1,0,0,0,0
Dehejia-Wahba Sample,1,29,13,1,0,0,0,0,0,7479.65576171875,841,24389,169,1,1,0,0,0,0
Dehejia-Wahba Sample,1,27,9,1,0,0,1,0,0,0,729,19683,81,1,1,0,0,0,0
Dehejia-Wahba Sample,1,46,13,1,0,0,0,0,0,647.20458984375,2116,97336,169,1,1,0,0,0,0
Dehejia-Wahba Sample,1,18,6,1,0,0,1,0,0,0,324,5832,36,1,1,0,0,0,0
Dehejia-Wahba Sample,1,25,12,1,0,0,0,0,0,11965.8095703125,625,15625,144,1,1,0,0,0,0
Dehejia-Wahba Sample,1,28,15,1,0,0,0,0,0,9598.541015625,784,21952,225,1,1,0,0,0,0
Dehejia-Wahba Sample,1,25,11,0,0,0,1,0,0,18783.349609375,625,15625,121,1,1,0,0,0,0
Dehejia-Wahba Sample,1,22,12,1,0,0,0,0,0,18678.080078125,484,10648,144,1,1,0,0,0,0
Dehejia-Wahba Sample,1,21,9,1,0,0,1,0,0,0,441,9261,81,1,1,0,0,0,0
Dehejia-Wahba Sample,1,40,11,1,0,0,1,0,0,23005.599609375,1600,64000,121,1,1,0,0,0,0
Dehejia-Wahba Sample,1,22,11,1,0,0,1,0,0,6456.69677734375,484,10648,121,1,1,0,0,0,0
Dehejia-Wahba Sample,1,25,12,1,0,0,0,0,0,0,625,15625,144,1,1,0,0,0,0
Dehejia-Wahba Sample,1,18,12,1,0,0,0,0,0,2321.10693359375,324,5832,144,1,1,0,0,0,0
Dehejia-Wahba Sample,1,38,12,0,0,0,0,0,0,4941.84912109375,1444,54872,144,1,1,0,0,0,0
Dehejia-Wahba Sample,1,27,13,1,0,0,0,0,0,0,729,19683,169,1,1,0,0,0,0
Dehejia-Wahba Sample,1,27,8,1,0,0,1,0,0,0,729,19683,64,1,1,0,0,0,0
Dehejia-Wahba Sample,1,38,11,1,0,0,1,0,0,0,1444,54872,121,1,1,0,0,0,0
Dehejia-Wahba Sample,1,23,8,0,1,0,1,0,0,3881.283935546875,529,12167,64,1,1,0,1,0,0
Dehejia-Wahba Sample,1,26,11,1,0,0,1,0,0,17230.9609375,676,17576,121,1,1,0,0,0,0
Dehejia-Wahba Sample,1,21,12,0,0,0,0,0,0,8048.60302734375,441,9261,144,1,1,0,0,0,0
Dehejia-Wahba Sample,1,25,8,1,0,0,1,0,0,0,625,15625,64,1,1,0,0,0,0
Dehejia-Wahba Sample,1,31,11,1,0,1,1,0,0,14509.9296875,961,29791,121,1,1,0,0,0,0
Dehejia-Wahba Sample,1,17,10,1,0,0,1,0,0,0,289,4913,100,1,1,0,0,0,0
Dehejia-Wahba Sample,1,25,11,1,0,0,1,0,0,0,625,15625,121,1,1,0,0,0,0
Dehejia-Wahba Sample,1,21,12,1,0,0,0,0,0,9983.7841796875,441,9261,144,1,1,0,0,0,0
Dehejia-Wahba Sample,1,44,11,1,0,0,1,0,0,0,1936,85184,121,1,1,0,0,0,0
Dehejia-Wahba Sample,1,25,12,0,0,0,0,0,0,5587.5029296875,625,15625,144,1,1,0,0,0,0
Dehejia-Wahba Sample,1,18,9,1,0,0,1,0,0,4482.84521484375,324,5832,81,1,1,0,0,0,0
Dehejia-Wahba Sample,1,42,12,1,0,0,0,0,0,2456.153076171875,1764,74088,144,1,1,0,0,0,0
Dehejia-Wahba Sample,1,25,10,1,0,0,1,0,0,0,625,15625,100,1,1,0,0,0,0
Dehejia-Wahba Sample,1,31,9,0,1,0,1,0,0,26817.599609375,961,29791,81,1,1,0,1,0,0
Dehejia-Wahba Sample,1,24,10,1,0,0,1,0,0,0,576,13824,100,1,1,0,0,0,0
Dehejia-Wahba Sample,1,26,10,1,0,0,1,0,0,9265.7880859375,676,17576,100,1,1,0,0,0,0
Dehejia-Wahba Sample,1,25,11,1,0,0,1,0,0,485.22979736328125,625,15625,121,1,1,0,0,0,0
Dehejia-Wahba Sample,1,18,11,1,0,0,1,0,0,4814.626953125,324,5832,121,1,1,0,0,0,0
Dehejia-Wahba Sample,1,19,11,1,0,0,1,0,0,7458.10498046875,361,6859,121,1,1,0,0,0,0
Dehejia-Wahba Sample,1,43,9,1,0,0,1,0,0,0,1849,79507,81,1,1,0,0,0,0
Dehejia-Wahba Sample,1,27,13,1,0,0,0,0,0,34099.28125,729,19683,169,1,1,0,0,0,0
Dehejia-Wahba Sample,1,17,9,1,0,0,1,0,0,1953.2679443359375,289,4913,81,1,1,0,0,0,0
Dehejia-Wahba Sample,1,30,11,1,0,0,1,0,0,0,900,27000,121,1,1,0,0,0,0
Dehejia-Wahba Sample,1,26,10,1,0,1,1,2027.9990234375,0,0,676,17576,100,0,1,20279.990234375,0,4112780.0390634537,0
Dehejia-Wahba Sample,1,20,9,1,0,0,1,6083.994140625,0,8881.6650390625,400,8000,81,0,1,54755.947265625,0,37014984.70315933,0
Dehejia-Wahba Sample,1,17,9,0,1,0,1,445.17041015625,74.34345245361328,6210.669921875,289,4913,81,0,0,4006.53369140625,0,198176.69407868385,5526.948922722659
Dehejia-Wahba Sample,1,20,12,1,0,0,0,989.267822265625,165.20770263671875,0,400,8000,144,0,0,11871.2138671875,0,978650.8241701722,27293.585010502487
Dehejia-Wahba Sample,1,18,11,1,0,0,1,858.2542724609375,214.5635986328125,929.8839111328125,324,5832,121,0,0,9440.7969970703125,0,736600.3961974531,46037.53785826266
Dehejia-Wahba Sample,1,27,12,1,0,1,0,3670.8720703125,334.0492858886719,0,729,19683,144,0,0,44050.46484375,0,13475301.75660038,111588.92540273163
Dehejia-Wahba Sample,1,21,12,0,0,0,0,3670.8720703125,334.0494079589844,12558.01953125,441,9261,144,0,0,44050.46484375,0,13475301.75660038,111589.00695774797
Dehejia-Wahba Sample,1,27,12,1,0,0,0,2143.4130859375,357.94989013671875,22163.25,729,19683,144,0,0,25720.95703125,0,4594219.656968117,128128.12384888902
Dehejia-Wahba Sample,1,20,12,1,0,0,0,0,377.568603515625,1652.636962890625,400,8000,144,1,0,0,0,0,142558.05036073923
Dehejia-Wahba Sample,1,19,10,1,0,0,1,0,385.27410888671875,8124.71484375,361,6859,100,1,0,0,0,0,148436.13897845522
Dehejia-Wahba Sample,1,23,12,1,0,0,0,5506.30810546875,501.0740966796875,671.331787109375,529,12167,144,0,0,66075.697265625,0,30319428.952350855,251075.25036336482
Dehejia-Wahba Sample,1,29,14,1,0,0,0,0,679.67340087890625,17814.98046875,841,24389,196,1,0,0,0,0,461955.9318622984
Dehejia-Wahba Sample,1,18,10,1,0,0,1,0,798.90789794921875,9737.154296875,324,5832,100,1,0,0,0,0,638253.8294056393
Dehejia-Wahba Sample,1,19,9,1,0,0,1,0,798.90789794921875,17685.1796875,361,6859,81,1,0,0,0,0,638253.8294056393
Dehejia-Wahba Sample,1,27,13,0,0,1,0,9381.56640625,853.72247314453125,0,729,19683,169,0,0,121960.36328125,0,88013788.23487854,728842.0611520149
Dehejia-Wahba Sample,1,18,11,0,0,0,1,3678.23095703125,919.55792236328125,4321.705078125,324,5832,121,0,0,40460.54052734375,0,13529382.973263025,845586.7725810744
Dehejia-Wahba Sample,1,27,9,1,0,1,1,0,934.44537353515625,1773.4229736328125,729,19683,81,1,0,0,0,0,873188.1561212577
Dehejia-Wahba Sample,1,22,12,1,0,0,0,5605.85205078125,936.17730712890625,0,484,10648,144,0,0,67270.224609375,0,31425577.215248346,876427.9503831305
Dehejia-Wahba Sample,1,23,10,1,0,1,1,0,936.4385986328125,11233.259765625,529,12167,100,1,0,0,0,0,876917.2490093857
Dehejia-Wahba Sample,1,23,12,0,1,0,0,9385.740234375,1117.43896484375,559.44317626953125,529,12167,144,0,0,112628.8828125,0,88092119.74716568,1248669.8401510715
Dehejia-Wahba Sample,1,20,11,1,0,0,1,3637.498046875,1220.8360595703125,1085.43994140625,400,8000,121,0,0,40012.478515625,0,13231392.04101944,1490440.6843471676
Dehejia-Wahba Sample,1,17,9,1,0,0,1,1716.509033203125,1253.43896484375,5445.2001953125,289,4913,81,0,0,15448.581298828125,0,2946403.261067927,1571109.2385885715
Dehejia-Wahba Sample,1,28,11,1,0,0,1,0,1284.0789794921875,60307.9296875,784,21952,121,1,0,0,0,0,1648858.8255736977
Dehejia-Wahba Sample,1,26,11,1,0,1,1,0,1392.85302734375,1460.3599853515625,676,17576,121,1,0,0,0,0,1940039.5557806492
Dehejia-Wahba Sample,1,20,11,1,0,0,1,16318.6201171875,1484.9940185546875,6943.341796875,400,8000,121,0,0,179504.8212890625,0,266297362.52907658,2205207.2351431996
Dehejia-Wahba Sample,1,24,11,1,0,1,1,824.38861083984375,1666.113037109375,4032.7080078125,576,13824,121,0,0,9068.274719238281,0,679616.5816824473,2775932.6524258256
Dehejia-Wahba Sample,1,31,9,1,0,0,1,0,1698.6070556640625,10363.26953125,961,29791,81,1,0,0,0,0,2885265.9295517355
Dehejia-Wahba Sample,1,23,8,0,0,1,1,0,1713.1500244140625,4232.30908203125,529,12167,64,1,0,0,0,0,2934883.006149903
Dehejia-Wahba Sample,1,18,10,1,0,0,1,2143.410888671875,1784.2740478515625,11141.3896484375,324,5832,100,0,0,21434.10888671875,0,4594210.237677157,3183633.8778366
Dehejia-Wahba Sample,1,29,12,1,0,0,0,10881.9404296875,1817.2840576171875,0,841,24389,144,0,0,130583.28515625,0,118416627.51526737,3302521.3460695893
Dehejia-Wahba Sample,1,26,11,0,0,0,1,0,2226.26611328125,13385.8603515625,676,17576,121,1,0,0,0,0,4956260.807144403
Dehejia-Wahba Sample,1,24,9,1,0,0,1,9154.7001953125,2288.675048828125,4849.55908203125,576,13824,81,0,0,82392.3017578125,0,83808535.66605473,5238033.47912842
Dehejia-Wahba Sample,1,25,12,1,0,0,0,14426.7900390625,2409.27392578125,0,625,15625,144,0,0,173121.48046875,0,208132270.83119297,5804600.849449396
Dehejia-Wahba Sample,1,24,10,1,0,0,1,4250.40185546875,2421.947021484375,1660.508056640625,576,13824,100,0,0,42504.0185546875,0,18065915.932972193,5865827.374877036
Dehejia-Wahba Sample,1,46,8,1,0,0,1,3165.657958984375,2594.722900390625,0,2116,97336,64,0,0,25325.263671875,0,10021390.313281119,6732586.929811537
Dehejia-Wahba Sample,1,31,12,0,0,0,0,0,2611.218017578125,2484.549072265625,961,29791,144,1,0,0,0,0,6818459.535324633
Dehejia-Wahba Sample,1,19,11,1,0,0,1,2305.02587890625,2615.27587890625,4146.60302734375,361,6859,121,0,0,25355.28466796875,0,5313144.30242753,6839667.922788858
Dehejia-Wahba Sample,1,19,8,1,0,0,1,0,2657.056884765625,9970.6806640625,361,6859,64,1,0,0,0,0,7059951.288880408
Dehejia-Wahba Sample,1,27,11,1,0,0,1,2206.93994140625,2666.27392578125,0,729,19683,121,0,0,24276.33935546875,0,4870583.904974222,7109016.647300959
Dehejia-Wahba Sample,1,26,11,1,0,1,1,0,2754.64599609375,26372.279296875,676,17576,121,1,0,0,0,0,7588074.563795328
Dehejia-Wahba Sample,1,20,10,1,0,0,1,5005.73095703125,2777.35498046875,5615.18896484375,400,8000,100,0,0,50057.3095703125,0,25057342.414180994,7713700.687534571
Dehejia-Wahba Sample,1,28,10,1,0,0,1,0,2836.506103515625,3196.571044921875,784,21952,100,1,0,0,0,0,8045766.8752813935
Dehejia-Wahba Sample,1,24,12,1,0,0,0,13765.75,2842.763916015625,6167.68115234375,576,13824,144,0,0,165189,0,189495873.0625,8081306.682200491
Dehejia-Wahba Sample,1,19,8,1,0,0,1,2636.35302734375,2937.263916015625,7535.94189453125,361,6859,64,0,0,21090.82421875,0,6950357.284784555,8627519.312327445
Dehejia-Wahba Sample,1,23,12,1,0,0,0,6269.3408203125,3039.9599609375,8484.2392578125,529,12167,144,0,0,75232.08984375,0,39304634.32123661,9241356.564103127
Dehejia-Wahba Sample,1,42,9,1,0,1,1,0,3058.531005859375,1294.4090576171875,1764,74088,81,1,0,0,0,0,9354611.91380316
Dehejia-Wahba Sample,1,25,13,1,0,0,0,12362.9296875,3090.73193359375,0,625,15625,169,0,0,160718.0859375,0,152842030.45806885,9552623.88533616
Dehejia-Wahba Sample,1,18,9,1,0,0,1,0,3287.375,5010.341796875,324,5832,81,1,0,0,0,0,10806834.390625
Dehejia-Wahba Sample,1,21,12,1,0,0,0,6473.68310546875,3332.408935546875,9371.037109375,441,9261,144,0,0,77684.197265625,0,41908572.95003152,11104949.313712656
Dehejia-Wahba Sample,1,27,10,1,0,0,1,1001.14599609375,3550.074951171875,0,729,19683,100,0,0,10011.4599609375,0,1002293.3054945469,12603032.15893799
Dehejia-Wahba Sample,1,21,8,1,0,0,1,989.267822265625,3695.89697265625,4279.61279296875,441,9261,64,0,0,7914.142578125,0,978650.8241701722,13659654.432489634
Dehejia-Wahba Sample,1,22,9,1,0,0,1,2192.876953125,3836.986083984375,3462.56396484375,484,10648,81,0,0,19735.892578125,0,4808709.331546783,14722462.20868975
Dehejia-Wahba Sample,1,31,4,1,0,0,1,8517.5888671875,4023.2109375,7382.548828125,961,29791,16,0,0,34070.35546875,0,72549320.11043644,16186226.247619629
Dehejia-Wahba Sample,1,24,10,1,0,1,1,11703.2001953125,4078.152099609375,0,576,13824,100,0,0,117032.001953125,0,136964894.81156254,16631324.547548354
Dehejia-Wahba Sample,1,29,10,1,0,0,1,0,4398.9501953125,0,841,24389,100,1,0,0,0,0,19350762.820839882
Dehejia-Wahba Sample,1,29,12,1,0,0,0,9748.38671875,4878.93701171875,10976.509765625,841,24389,144,0,0,116980.640625,0,95031043.61830139,23804026.364319086
Dehejia-Wahba Sample,1,19,10,0,0,0,1,0,5324.10888671875,13829.6201171875,361,6859,100,1,0,0,0,0,28346135.437637568
Dehejia-Wahba Sample,1,19,11,0,1,1,1,5424.48486328125,5463.80322265625,6788.462890625,361,6859,121,0,0,59669.33349609375,0,29425036.0319674,29853145.655908823
Dehejia-Wahba Sample,1,31,9,1,0,0,1,10717.0302734375,5517.8408203125,9558.5009765625,961,29791,81,0,0,96453.2724609375,0,114854737.88177586,30446567.318306923
Dehejia-Wahba Sample,1,22,10,1,0,1,1,1468.3480224609375,5588.6640625,13228.2802734375,484,10648,100,0,0,14683.480224609375,0,2156045.915064946,31233166.003479004
Dehejia-Wahba Sample,1,21,9,1,0,0,1,6416.47021484375,5749.3310546875,743.6666259765625,441,9261,81,0,0,57748.23193359375,0,41171090.017977,33054807.57639408
Dehejia-Wahba Sample,1,17,10,1,0,0,1,1291.468017578125,5793.85205078125,5522.7880859375,289,4913,100,0,0,12914.68017578125,0,1667889.6404271722,33568721.5863421
Dehejia-Wahba Sample,1,26,12,1,0,1,0,8408.76171875,5794.8310546875,1424.9439697265625,676,17576,144,0,0,100905.140625,0,70707273.64271545,33580066.95237064
Dehejia-Wahba Sample,1,20,9,0,1,0,1,12260.7802734375,5875.048828125,1358.6429443359375,400,8000,81,0,0,110347.0224609375,0,150326732.91351414,34516198.732852936
Dehejia-Wahba Sample,1,19,10,1,0,0,1,4121.94921875,6056.75390625,0,361,6859,100,0,0,41219.4921875,0,16990465.361953735,36684267.880874634
Dehejia-Wahba Sample,1,26,10,1,0,0,1,25929.6796875,6788.9580078125,672.8773193359375,676,17576,100,0,0,259296.796875,0,672348288.6963501,46089950.83184147
Dehejia-Wahba Sample,1,28,11,1,0,0,1,1929.029052734375,6871.85595703125,0,784,21952,121,0,0,21219.319580078125,0,3721153.08629328,47222404.29418588
Dehejia-Wahba Sample,1,22,12,0,1,1,0,492.2304992675781,7055.7021484375,10092.830078125,484,10648,144,0,0,5906.7659912109375,0,242290.86440920923,49782932.80746555
Dehejia-Wahba Sample,1,33,11,1,0,0,1,0,7867.916015625,6281.43310546875,1089,35937,121,1,0,0,0,0,61904102.428928375
Dehejia-Wahba Sample,1,22,12,0,0,0,0,6759.994140625,8455.50390625,12590.7099609375,484,10648,144,0,0,81119.9296875,0,45697520.78128433,71495546.30860901
Dehejia-Wahba Sample,1,29,10,0,1,0,1,0,8853.673828125,5112.01416015625,841,24389,100,1,0,0,1,0,78387540.25482559
Dehejia-Wahba Sample,1,33,12,1,0,1,0,20279.94921875,10941.349609375,15952.599609375,1089,35937,144,0,0,243359.390625,0,411276340.31507874,119713131.27457047
Dehejia-Wahba Sample,1,25,14,1,0,1,0,35040.0703125,11536.5703125,36646.94921875,625,15625,196,0,0,490560.984375,0,1227806527.5049438,133092454.57525635
Dehejia-Wahba Sample,1,35,9,1,0,1,1,13602.4296875,13830.6396484375,12803.9697265625,1225,42875,81,0,0,122421.8671875,0,185026093.40338135,191286593.08493137
Dehejia-Wahba Sample,1,35,8,1,0,1,1,13732.0703125,17976.150390625,3786.6279296875,1225,42875,64,0,0,109856.5625,0,188569755.06744385,323141982.86636734
Dehejia-Wahba Sample,1,33,11,1,0,1,1,14660.7099609375,25142.240234375,4181.94189453125,1089,35937,121,0,0,161267.8095703125,0,214936416.55873203,632132244.003025
CPS1,0,45,11,0,0,1,1,21516.669921875,25243.55078125,25564.669921875,2025,91125,121,0,0,236683.369140625,0,462967084.5269203,637236856.0455475
CPS1,0,21,14,0,0,0,0,3175.970947265625,5852.56494140625,13496.080078125,441,9261,196,0,0,44463.59326171875,0,10086791.457875311,34252516.39337754
CPS1,0,38,12,0,0,1,0,23039.01953125,25130.759765625,25564.669921875,1444,54872,144,0,0,276468.234375,0,530796420.96131897,631555086.3975563
CPS1,0,48,6,0,0,1,1,24994.369140625,25243.55078125,25564.669921875,2304,110592,36,0,0,149966.21484375,0,624718488.7378273,637236856.0455475
CPS1,0,18,8,0,0,1,1,1669.2950439453125,10727.6103515625,9860.869140625,324,5832,64,0,0,13354.3603515625,0,2786545.943740383,115081623.8549509
CPS1,0,22,11,0,0,1,1,16365.759765625,18449.26953125,25564.669921875,484,10648,121,0,0,180023.357421875,0,267838092.70615005,340375546.2367096
CPS1,0,48,10,0,0,1,1,16804.630859375,16354.599609375,18059.30078125,2304,110592,100,0,0,168046.30859375,0,282395618.31985855,267472928.3829689
CPS1,0,18,11,0,0,0,1,1144.2120361328125,3620.031982421875,15739.26953125,324,5832,121,0,0,12586.332397460938,0,1309221.1836311966,13104631.55375725
CPS1,0,48,9,0,0,1,1,25862.3203125,25243.55078125,25564.669921875,2304,110592,81,0,0,232760.8828125,0,668859611.9463501,637236856.0455475
CPS1,0,45,12,0,0,1,0,25862.3203125,0,3924.842041015625,2025,91125,144,0,1,310347.84375,0,668859611.9463501,0
CPS1,0,34,14,0,0,1,0,25862.3203125,23746.83984375,25564.669921875,1156,39304,196,0,0,362072.484375,0,668859611.9463501,563912402.5647125
CPS1,0,16,10,0,0,0,1,1026.656005859375,1224.5810546875,6847.78515625,256,4096,100,0,0,10266.56005859375,0,1054022.554367125,1499598.7594995499
CPS1,0,53,10,0,0,1,1,25862.3203125,25243.55078125,25564.669921875,2809,148877,100,0,0,258623.203125,0,668859611.9463501,637236856.0455475
CPS1,0,19,12,0,0,0,0,867.9552001953125,4386.2900390625,8777.6962890625,361,6859,144,0,0,10415.46240234375,0,753346.229546085,19239540.306778908
CPS1,0,27,12,0,0,1,0,25862.3203125,19047.240234375,19214.880859375,729,19683,144,0,0,310347.84375,0,668859611.9463501,362797360.5459938
CPS1,0,32,10,0,0,1,1,20427.3203125,23374.44921875,9179.63671875,1024,32768,100,0,0,204273.203125,0,417275415.1494751,546364876.2799225
CPS1,0,27,12,0,0,1,0,20983.75,14822.080078125,25564.669921875,729,19683,144,0,0,251805,0,440317764.0625,219694057.84235
CPS1,0,46,7,0,0,1,1,19171.4296875,1317.677001953125,0,2116,97336,49,0,0,134200.0078125,0,367543716.26275635,1736272.6814761758
